,Part_length,Carriageway width in m.,Year of construction /upgradation,Study Stretch Chainage,Avg Rain fall,Age of Pavement during Evalution Years ,MDD,OMC,LL,PL,PI,CBR,SCI,SN,MSN,CVPD,Actual PCI,evalution_year,evalution_month,evalution_quarter
16,0.6,3.75,2019.0,0.13,643.0,4.6,1.7,10.3,51.0,36.0,17.0,4.71,0.04,3.6,6.85,67.0,61.53,2023.0,11.0,4.0
17,0.6,3.75,2019.0,0.25,643.0,4.6,1.7,10.3,51.0,36.0,17.0,4.71,0.3,2.86,6.11,67.0,72.6,2023.0,11.0,4.0
18,0.6,3.75,2019.0,0.38,643.0,4.6,1.7,10.3,51.0,36.0,17.0,4.71,0.08,4.1,7.35,67.0,73.17,2023.0,11.0,4.0
19,0.6,3.75,2019.0,0.5,643.0,4.6,1.7,10.3,51.0,36.0,17.0,4.71,0.09,2.7,5.95,67.0,68.95,2023.0,11.0,4.0
20,0.6,3.75,2019.0,0.0,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.1,3.52,6.77,75.0,62.051,2024.0,3.0,1.0
21,0.6,3.75,2019.0,0.13,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.04,2.64,5.89,75.0,61.544,2024.0,3.0,1.0
22,0.6,3.75,2019.0,0.25,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.3,2.85,6.1,75.0,71.166,2024.0,3.0,1.0
23,0.6,3.75,2019.0,0.38,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.08,4.02,7.27,75.0,73.168,2024.0,3.0,1.0
24,0.6,3.75,2019.0,0.5,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.08,2.62,5.87,75.0,68.93,2024.0,3.0,1.0
25,0.6,3.75,2019.0,0.0,643.0,5.5,1.7,10.3,51.0,36.0,17.0,4.71,0.1,3.5,6.75,75.0,61.72,2024.0,10.0,4.0
26,0.6,3.75,2019.0,0.13,643.0,5.5,1.7,10.3,51.0,36.0,17.0,4.71,0.04,2.6,5.85,75.0,61.36,2024.0,10.0,4.0
27,0.6,3.75,2019.0,0.25,643.0,5.5,1.7,10.3,51.0,36.0,17.0,4.71,0.3,2.8,6.05,75.0,70.5,2024.0,10.0,4.0
28,0.6,3.75,2019.0,0.38,643.0,5.5,1.7,10.3,51.0,36.0,17.0,4.71,0.09,4.05,7.3,75.0,72.598,2024.0,10.0,4.0
29,0.6,3.75,2019.0,0.5,643.0,5.5,1.7,10.3,51.0,36.0,17.0,4.71,0.09,2.6,5.85,75.0,68.7,2024.0,10.0,4.0
30,0.8,3.75,2020.0,0.0,674.0,1.8,1.98,10.3,25.0,19.0,7.0,5.48,0.2,4.01,7.45,55.0,78.85,2022.0,3.0,1.0
31,0.8,3.75,2020.0,0.13,674.0,1.8,1.98,10.3,25.0,19.0,7.0,5.48,0.26,3.19,6.64,55.0,73.69,2022.0,3.0,1.0
32,0.8,3.75,2020.0,0.25,674.0,1.8,1.98,10.3,25.0,19.0,7.0,5.48,0.13,3.05,6.5,55.0,84.43,2022.0,3.0,1.0
33,0.8,3.75,2020.0,0.38,674.0,1.8,1.98,10.3,25.0,19.0,7.0,5.48,0.09,3.4,6.84,55.0,67.81,2022.0,3.0,1.0
34,0.8,3.75,2020.0,0.5,674.0,1.8,1.98,10.3,25.0,19.0,7.0,5.48,0.1,3.37,6.82,55.0,70.04,2022.0,3.0,1.0
35,0.8,3.75,2020.0,0.0,674.0,2.5,1.98,10.3,25.0,19.0,7.0,5.48,0.2,3.95,7.39,55.0,76.51,2022.0,12.0,4.0
36,0.8,3.75,2020.0,0.13,674.0,2.5,1.98,10.3,25.0,19.0,7.0,5.48,0.26,3.19,6.63,55.0,72.61,2022.0,12.0,4.0
37,0.8,3.75,2020.0,0.25,674.0,2.5,1.98,10.3,25.0,19.0,7.0,5.48,0.13,3.1,6.55,55.0,77.02,2022.0,12.0,4.0
38,0.8,3.75,2020.0,0.38,674.0,2.5,1.98,10.3,25.0,19.0,7.0,5.48,0.09,3.4,6.85,55.0,66.9,2022.0,12.0,4.0
39,0.8,3.75,2020.0,0.5,674.0,2.5,1.98,10.3,25.0,19.0,7.0,5.48,0.1,3.26,6.7,55.0,69.0,2022.0,12.0,4.0
40,0.8,3.75,2020.0,0.0,674.0,2.11,1.98,10.3,25.0,19.0,7.0,5.48,0.2,3.87,7.31,56.0,75.71,2023.0,6.0,2.0
41,0.8,3.75,2020.0,0.13,674.0,2.11,1.98,10.3,25.0,19.0,7.0,5.48,0.26,2.74,6.19,56.0,71.8,2023.0,6.0,2.0
42,0.8,3.75,2020.0,0.25,674.0,2.11,1.98,10.3,25.0,19.0,7.0,5.48,0.13,2.82,6.26,56.0,78.27,2023.0,6.0,2.0
43,0.8,3.75,2020.0,0.38,674.0,2.11,1.98,10.3,25.0,19.0,7.0,5.48,0.09,3.19,6.63,56.0,66.89,2023.0,6.0,2.0
44,0.8,3.75,2020.0,0.5,674.0,2.11,1.98,10.3,25.0,19.0,7.0,5.48,0.1,3.15,6.6,56.0,69.05,2023.0,6.0,2.0
45,0.8,3.75,2020.0,0.0,674.0,3.4,1.98,10.3,25.0,19.0,7.0,5.48,0.2,3.8,7.25,56.0,75.4,2023.0,11.0,4.0
46,0.8,3.75,2020.0,0.13,674.0,3.4,1.98,10.3,25.0,19.0,7.0,5.48,0.26,2.96,6.41,56.0,72.1,2023.0,11.0,4.0
47,0.8,3.75,2020.0,0.25,674.0,3.4,1.98,10.3,25.0,19.0,7.0,5.48,0.13,2.82,6.27,56.0,77.6,2023.0,11.0,4.0
48,0.8,3.75,2020.0,0.38,674.0,3.4,1.98,10.3,25.0,19.0,7.0,5.48,0.09,3.1,6.55,56.0,66.17,2023.0,11.0,4.0
49,0.8,3.75,2020.0,0.5,674.0,3.4,1.98,10.3,25.0,19.0,7.0,5.48,0.1,3.1,6.55,56.0,69.07,2023.0,11.0,4.0
50,0.8,3.75,2020.0,0.0,674.0,3.8,1.98,10.3,25.0,19.0,7.0,5.48,0.2,3.8,7.25,75.0,75.58,2024.0,3.0,1.0
51,0.8,3.75,2020.0,0.13,674.0,3.8,1.98,10.3,25.0,19.0,7.0,5.48,0.26,2.9,6.35,75.0,72.16,2024.0,3.0,1.0
52,0.8,3.75,2020.0,0.25,674.0,3.8,1.98,10.3,25.0,19.0,7.0,5.48,0.13,2.8,6.25,75.0,77.7,2024.0,3.0,1.0
53,0.8,3.75,2020.0,0.38,674.0,3.8,1.98,10.3,25.0,19.0,7.0,5.48,0.09,3.1,6.55,75.0,65.82,2024.0,3.0,1.0
54,0.8,3.75,2020.0,0.5,674.0,3.8,1.98,10.3,25.0,19.0,7.0,5.48,0.1,3.1,6.55,75.0,68.36,2024.0,3.0,1.0
55,0.8,3.75,2020.0,0.0,674.0,4.3,1.98,10.3,25.0,19.0,7.0,5.48,0.2,3.75,7.2,75.0,75.0,2024.0,10.0,4.0
56,0.8,3.75,2020.0,0.13,674.0,4.3,1.98,10.3,25.0,19.0,7.0,5.48,0.25,2.8,6.25,75.0,71.83,2024.0,10.0,4.0
57,0.8,3.75,2020.0,0.25,674.0,4.3,1.98,10.3,25.0,19.0,7.0,5.48,0.14,2.8,6.25,75.0,77.7,2024.0,10.0,4.0
58,0.8,3.75,2020.0,0.38,674.0,4.3,1.98,10.3,25.0,19.0,7.0,5.48,0.09,3.15,6.6,75.0,65.65,2024.0,10.0,4.0
59,0.8,3.75,2020.0,0.5,674.0,4.3,1.98,10.3,25.0,19.0,7.0,5.48,0.1,3.1,6.55,75.0,67.9,2024.0,10.0,4.0
60,0.574,3.75,2020.0,0.0,882.0,1.11,1.86,9.6,37.0,15.0,22.0,5.16,0.3,3.0,6.37,52.0,62.13,2022.0,2.0,1.0
61,0.574,3.75,2020.0,0.13,882.0,1.11,1.86,9.6,37.0,15.0,22.0,5.16,0.15,3.44,6.81,52.0,63.82,2022.0,2.0,1.0
62,0.574,3.75,2020.0,0.25,882.0,1.11,1.86,9.6,37.0,15.0,22.0,5.16,0.1,2.9,6.26,52.0,63.65,2022.0,2.0,1.0
63,0.574,3.75,2020.0,0.38,882.0,1.11,1.86,9.6,37.0,15.0,22.0,5.16,0.1,2.97,6.33,52.0,75.29,2022.0,2.0,1.0
64,0.574,3.75,2020.0,0.5,882.0,1.11,1.86,9.6,37.0,15.0,22.0,5.16,0.19,3.05,6.41,52.0,69.15,2022.0,2.0,1.0
65,0.574,3.75,2020.0,0.0,882.0,2.9,1.86,9.6,37.0,15.0,22.0,5.16,0.29,3.0,6.37,52.0,61.73,2022.0,12.0,4.0
66,0.574,3.75,2020.0,0.13,882.0,2.9,1.86,9.6,37.0,15.0,22.0,5.16,0.15,3.45,6.82,52.0,63.7,2022.0,12.0,4.0
67,0.574,3.75,2020.0,0.25,882.0,2.9,1.86,9.6,37.0,15.0,22.0,5.16,0.11,2.9,6.27,52.0,63.1,2022.0,12.0,4.0
68,0.574,3.75,2020.0,0.38,882.0,2.9,1.86,9.6,37.0,15.0,22.0,5.16,0.1,2.95,6.32,52.0,75.01,2022.0,12.0,4.0
69,0.574,3.75,2020.0,0.5,882.0,2.9,1.86,9.6,37.0,15.0,22.0,5.16,0.2,3.0,6.37,52.0,68.75,2022.0,12.0,4.0
70,0.574,3.75,2020.0,0.0,882.0,3.4,1.86,9.6,37.0,15.0,22.0,5.16,0.29,2.96,6.32,78.0,59.75,2023.0,6.0,2.0
71,0.574,3.75,2020.0,0.13,882.0,3.4,1.86,9.6,37.0,15.0,22.0,5.16,0.15,3.43,6.8,78.0,61.34,2023.0,6.0,2.0
72,0.574,3.75,2020.0,0.25,882.0,3.4,1.86,9.6,37.0,15.0,22.0,5.16,0.1,2.9,6.26,78.0,60.18,2023.0,6.0,2.0
73,0.574,3.75,2020.0,0.38,882.0,3.4,1.86,9.6,37.0,15.0,22.0,5.16,0.1,2.92,6.29,78.0,70.74,2023.0,6.0,2.0
74,0.574,3.75,2020.0,0.5,882.0,3.4,1.86,9.6,37.0,15.0,22.0,5.16,0.2,3.0,6.36,78.0,67.07,2023.0,6.0,2.0
75,0.574,3.75,2020.0,0.0,882.0,3.8,1.86,9.6,37.0,15.0,22.0,5.16,0.28,2.8,6.17,78.0,59.45,2023.0,11.0,4.0
76,0.574,3.75,2020.0,0.13,882.0,3.8,1.86,9.6,37.0,15.0,22.0,5.16,0.16,3.2,6.57,78.0,61.5,2023.0,11.0,4.0
77,0.574,3.75,2020.0,0.25,882.0,3.8,1.86,9.6,37.0,15.0,22.0,5.16,0.11,2.8,6.17,78.0,60.21,2023.0,11.0,4.0
78,0.574,3.75,2020.0,0.38,882.0,3.8,1.86,9.6,37.0,15.0,22.0,5.16,0.19,2.7,6.07,78.0,70.57,2023.0,11.0,4.0
79,0.574,3.75,2020.0,0.5,882.0,3.8,1.86,9.6,37.0,15.0,22.0,5.16,0.19,3.0,6.37,78.0,65.63,2023.0,11.0,4.0
80,0.574,3.75,2020.0,0.0,882.0,4.0,1.86,9.6,37.0,15.0,22.0,5.16,0.29,2.72,6.09,94.0,59.28,2024.0,3.0,1.0
81,0.574,3.75,2020.0,0.13,882.0,4.0,1.86,9.6,37.0,15.0,22.0,5.16,0.15,3.22,6.59,94.0,61.09,2024.0,3.0,1.0
82,0.574,3.75,2020.0,0.25,882.0,4.0,1.86,9.6,37.0,15.0,22.0,5.16,0.1,2.71,6.07,94.0,60.19,2024.0,3.0,1.0
83,0.574,3.75,2020.0,0.38,882.0,4.0,1.86,9.6,37.0,15.0,22.0,5.16,0.1,2.67,6.04,94.0,70.41,2024.0,3.0,1.0
84,0.574,3.75,2020.0,0.5,882.0,4.0,1.86,9.6,37.0,15.0,22.0,5.16,0.19,2.74,6.11,94.0,65.54,2024.0,3.0,1.0
85,0.574,3.75,2020.0,0.0,882.0,4.7,1.86,9.6,37.0,15.0,22.0,5.16,0.27,2.7,6.07,94.0,58.7,2024.0,10.0,4.0
86,0.574,3.75,2020.0,0.13,882.0,4.7,1.86,9.6,37.0,15.0,22.0,5.16,0.16,3.2,6.57,94.0,59.4,2024.0,10.0,4.0
87,0.574,3.75,2020.0,0.25,882.0,4.7,1.86,9.6,37.0,15.0,22.0,5.16,0.1,2.7,6.07,94.0,58.81,2024.0,10.0,4.0
88,0.574,3.75,2020.0,0.38,882.0,4.7,1.86,9.6,37.0,15.0,22.0,5.16,0.19,2.6,5.97,94.0,68.6,2024.0,10.0,4.0
89,0.574,3.75,2020.0,0.5,882.0,4.7,1.86,9.6,37.0,15.0,22.0,5.16,0.19,2.7,6.07,94.0,65.55,2024.0,10.0,4.0
90,0.3,3.75,2018.0,0.0,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.12,3.54,7.05,53.0,74.07,2022.0,3.0,1.0
91,0.3,3.75,2018.0,0.13,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.22,2.83,6.33,53.0,73.91,2022.0,3.0,1.0
92,0.3,3.75,2018.0,0.25,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.27,6.78,53.0,67.48,2022.0,3.0,1.0
93,0.3,3.75,2018.0,0.38,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.19,6.7,53.0,78.91,2022.0,3.0,1.0
94,0.3,3.75,2018.0,0.5,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.02,6.52,53.0,79.48,2022.0,3.0,1.0
95,0.3,3.75,2018.0,0.0,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.11,3.5,7.01,53.0,73.11,2022.0,12.0,4.0
96,0.3,3.75,2018.0,0.13,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.22,2.8,6.31,53.0,72.6,2022.0,12.0,4.0
97,0.3,3.75,2018.0,0.25,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.3,6.81,53.0,67.35,2022.0,12.0,4.0
98,0.3,3.75,2018.0,0.38,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.2,6.71,53.0,79.71,2022.0,12.0,4.0
99,0.3,3.75,2018.0,0.5,929.0,4.1,2.07,8.9,29.0,16.0,11.0,5.75,0.18,3.0,6.51,53.0,79.05,2022.0,12.0,4.0
100,0.3,3.75,2018.0,0.0,929.0,5.4,2.07,8.9,29.0,16.0,11.0,5.75,0.11,3.25,6.76,83.0,72.71,2023.0,6.0,2.0
101,0.3,3.75,2018.0,0.13,929.0,5.4,2.07,8.9,29.0,16.0,11.0,5.75,0.22,3.0,6.51,83.0,72.95,2023.0,6.0,2.0
102,0.3,3.75,2018.0,0.25,929.0,5.4,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.0,6.51,83.0,67.0,2023.0,6.0,2.0
103,0.3,3.75,2018.0,0.38,929.0,5.4,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.2,6.71,83.0,78.8,2023.0,6.0,2.0
104,0.3,3.75,2018.0,0.5,929.0,5.4,2.07,8.9,29.0,16.0,11.0,5.75,0.18,3.2,6.71,83.0,78.3,2023.0,6.0,2.0
105,0.3,3.75,2018.0,0.0,929.0,5.9,2.07,8.9,29.0,16.0,11.0,5.75,0.12,3.3,6.81,83.0,71.07,2023.0,11.0,4.0
106,0.3,3.75,2018.0,0.13,929.0,5.9,2.07,8.9,29.0,16.0,11.0,5.75,0.22,2.9,6.41,83.0,73.82,2023.0,11.0,4.0
107,0.3,3.75,2018.0,0.25,929.0,5.9,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.4,6.91,83.0,66.87,2023.0,11.0,4.0
108,0.3,3.75,2018.0,0.38,929.0,5.9,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.2,6.71,83.0,78.57,2023.0,11.0,4.0
109,0.3,3.75,2018.0,0.5,929.0,5.9,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.1,6.61,83.0,79.6,2023.0,11.0,4.0
110,0.3,3.75,2018.0,0.0,929.0,6.1,2.07,8.9,29.0,16.0,11.0,5.75,0.12,3.54,7.05,112.0,70.51,2024.0,3.0,1.0
111,0.3,3.75,2018.0,0.13,929.0,6.1,2.07,8.9,29.0,16.0,11.0,5.75,0.22,2.83,6.33,112.0,73.69,2024.0,3.0,1.0
112,0.3,3.75,2018.0,0.25,929.0,6.1,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.36,6.87,112.0,66.7,2024.0,3.0,1.0
113,0.3,3.75,2018.0,0.38,929.0,6.1,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.19,6.7,112.0,78.48,2024.0,3.0,1.0
114,0.3,3.75,2018.0,0.5,929.0,6.1,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.06,6.57,112.0,79.42,2024.0,3.0,1.0
115,0.3,3.75,2018.0,0.0,929.0,6.8,2.07,8.9,29.0,16.0,11.0,5.75,0.12,3.36,6.87,112.0,70.41,2024.0,10.0,4.0
116,0.3,3.75,2018.0,0.13,929.0,6.8,2.07,8.9,29.0,16.0,11.0,5.75,0.21,2.59,6.1,112.0,73.42,2024.0,10.0,4.0
117,0.3,3.75,2018.0,0.25,929.0,6.8,2.07,8.9,29.0,16.0,11.0,5.75,0.17,3.05,6.56,112.0,66.57,2024.0,10.0,4.0
118,0.3,3.75,2018.0,0.38,929.0,6.8,2.07,8.9,29.0,16.0,11.0,5.75,0.17,2.96,6.47,112.0,77.96,2024.0,10.0,4.0
119,0.3,3.75,2018.0,0.5,929.0,6.8,2.07,8.9,29.0,16.0,11.0,5.75,0.17,2.74,6.25,112.0,78.41,2024.0,10.0,4.0
120,0.3,3.75,2020.0,0.0,786.0,1.1,1.67,11.9,0.0,0.0,0.0,6.1,0.204,3.3,6.69,121.0,79.08,2024.0,2.0,1.0
121,0.3,3.75,2020.0,0.13,786.0,1.1,1.67,11.9,0.0,0.0,0.0,6.1,0.126,2.59,5.99,121.0,83.7,2024.0,2.0,1.0
122,0.3,3.75,2020.0,0.25,786.0,1.1,1.67,11.9,0.0,0.0,0.0,6.1,0.103,2.69,6.08,121.0,77.29,2024.0,2.0,1.0
123,0.3,3.75,2020.0,0.38,786.0,1.1,1.67,11.9,0.0,0.0,0.0,6.1,0.211,2.73,6.12,121.0,79.15,2024.0,2.0,1.0
124,0.3,3.75,2020.0,0.5,786.0,1.1,1.67,11.9,0.0,0.0,0.0,6.1,0.126,2.65,6.05,121.0,74.84,2024.0,2.0,1.0
125,0.3,3.75,2020.0,0.0,786.0,2.7,1.67,11.9,0.0,0.0,0.0,6.1,0.205,3.22,6.61,108.0,79.02,2024.0,12.0,4.0
126,0.3,3.75,2020.0,0.13,786.0,2.7,1.67,11.9,0.0,0.0,0.0,6.1,0.127,2.51,5.91,108.0,83.5,2024.0,12.0,4.0
127,0.3,3.75,2020.0,0.25,786.0,2.7,1.67,11.9,0.0,0.0,0.0,6.1,0.104,2.61,6.0,108.0,77.22,2024.0,12.0,4.0
128,0.3,3.75,2020.0,0.38,786.0,2.7,1.67,11.9,0.0,0.0,0.0,6.1,0.212,2.65,6.04,108.0,78.99,2024.0,12.0,4.0
129,0.3,3.75,2020.0,0.5,786.0,2.7,1.67,11.9,0.0,0.0,0.0,6.1,0.127,2.57,5.97,108.0,74.6,2024.0,12.0,4.0
130,0.3,3.75,2020.0,0.0,786.0,3.3,1.67,11.9,0.0,0.0,0.0,6.1,0.205,3.14,6.53,97.0,78.29,2024.0,6.0,2.0
131,0.3,3.75,2020.0,0.13,786.0,3.3,1.67,11.9,0.0,0.0,0.0,6.1,0.127,2.43,5.83,97.0,81.26,2024.0,6.0,2.0
132,0.3,3.75,2020.0,0.25,786.0,3.3,1.67,11.9,0.0,0.0,0.0,6.1,0.104,2.53,5.92,97.0,74.6,2024.0,6.0,2.0
133,0.3,3.75,2020.0,0.38,786.0,3.3,1.67,11.9,0.0,0.0,0.0,6.1,0.212,2.57,5.96,97.0,77.77,2024.0,6.0,2.0
134,0.3,3.75,2020.0,0.5,786.0,3.3,1.67,11.9,0.0,0.0,0.0,6.1,0.127,2.49,5.89,97.0,74.15,2024.0,6.0,2.0
135,0.3,3.75,2020.0,0.0,786.0,3.6,1.67,11.9,0.0,0.0,0.0,6.1,0.116,2.79,6.19,97.0,77.59,2024.0,11.0,4.0
136,0.3,3.75,2020.0,0.13,786.0,3.6,1.67,11.9,0.0,0.0,0.0,6.1,0.167,2.74,6.14,97.0,81.14,2024.0,11.0,4.0
137,0.3,3.75,2020.0,0.25,786.0,3.6,1.67,11.9,0.0,0.0,0.0,6.1,0.097,2.73,6.13,97.0,73.7,2024.0,11.0,4.0
138,0.3,3.75,2020.0,0.38,786.0,3.6,1.67,11.9,0.0,0.0,0.0,6.1,0.027,2.86,6.26,97.0,76.86,2024.0,11.0,4.0
139,0.3,3.75,2020.0,0.5,786.0,3.6,1.67,11.9,0.0,0.0,0.0,6.1,0.167,2.93,6.33,97.0,73.9,2024.0,11.0,4.0
140,0.3,3.75,2020.0,0.0,786.0,3.11,1.67,11.9,0.0,0.0,0.0,6.1,0.116,2.43,5.83,97.0,76.89,2024.0,3.0,1.0
141,0.3,3.75,2020.0,0.13,786.0,3.11,1.67,11.9,0.0,0.0,0.0,6.1,0.167,2.4,5.8,97.0,79.5,2024.0,3.0,1.0
142,0.3,3.75,2020.0,0.25,786.0,3.11,1.67,11.9,0.0,0.0,0.0,6.1,0.097,2.61,6.01,97.0,72.35,2024.0,3.0,1.0
143,0.3,3.75,2020.0,0.38,786.0,3.11,1.67,11.9,0.0,0.0,0.0,6.1,0.027,2.63,6.03,97.0,75.91,2024.0,3.0,1.0
144,0.3,3.75,2020.0,0.5,786.0,3.11,1.67,11.9,0.0,0.0,0.0,6.1,0.167,2.59,5.99,97.0,73.4,2024.0,3.0,1.0
145,0.3,3.75,2020.0,0.0,786.0,4.5,1.67,11.9,0.0,0.0,0.0,6.1,0.116,2.79,6.19,97.0,76.0,2024.0,10.0,4.0
146,0.3,3.75,2020.0,0.13,786.0,4.5,1.67,11.9,0.0,0.0,0.0,6.1,0.167,2.74,6.14,97.0,79.41,2024.0,10.0,4.0
147,0.3,3.75,2020.0,0.25,786.0,4.5,1.67,11.9,0.0,0.0,0.0,6.1,0.097,2.73,6.13,97.0,72.0,2024.0,10.0,4.0
148,0.3,3.75,2020.0,0.38,786.0,4.5,1.67,11.9,0.0,0.0,0.0,6.1,0.027,2.86,6.26,97.0,74.57,2024.0,10.0,4.0
149,0.3,3.75,2020.0,0.5,786.0,4.5,1.67,11.9,0.0,0.0,0.0,6.1,0.167,2.93,6.33,97.0,72.1,2024.0,10.0,4.0
150,0.44715455174446106,3.680675506591797,2019.3265380859375,0.06880640983581543,802.4491577148438,3.22153902053833,1.9052387475967407,10.373738288879395,17.903852462768555,12.311579704284668,7.527542591094971,5.732829570770264,0.24849388003349304,2.846850633621216,6.233246326446533,72.2208480834961,76.02104949951172,2023.1561279296875,6.050932884216309,2.014575958251953
151,0.6512999534606934,3.748732089996338,2019.3515625,0.34109506011009216,670.9900512695312,5.006741523742676,1.7937214374542236,10.270671844482422,42.226139068603516,29.427066802978516,13.698874473571777,4.980010509490967,0.22224998474121094,2.9831056594848633,6.302828788757324,80.43334197998047,75.7559814453125,2024.1524658203125,6.4171600341796875,2.6526310443878174
152,0.6112908720970154,3.748425245285034,2020.2762451171875,0.22225739061832428,880.8609619140625,2.251835584640503,1.8583393096923828,9.700301170349121,34.91947937011719,13.024890899658203,21.176204681396484,5.180680751800537,0.1371186524629593,3.2473044395446777,6.612249851226807,65.0047607421875,61.8544921875,2022.53466796875,5.501352310180664,2.2054667472839355
153,0.5878393650054932,3.7226953506469727,2019.7813720703125,0.3522389829158783,816.857421875,3.9524130821228027,1.8546476364135742,9.930718421936035,33.849605560302734,16.402101516723633,16.805908203125,5.2540283203125,0.14092406630516052,2.749361991882324,6.14854621887207,84.54566192626953,69.95689392089844,2023.7281494140625,4.774936199188232,1.6108554601669312
154,0.6466682553291321,3.8664581775665283,2019.418701171875,0.2692742645740509,752.9544677734375,5.115537166595459,1.9720340967178345,9.974124908447266,27.73770523071289,17.75648307800293,9.199771881103516,5.522404670715332,0.1534278839826584,3.6681556701660156,7.136261940002441,84.68807220458984,71.9379653930664,2024.11865234375,8.58117961883545,3.537153482437134
155,0.5751388669013977,3.716759443283081,2019.1978759765625,0.14872300624847412,719.7106323242188,3.9283008575439453,1.7951610088348389,10.158120155334473,41.01667404174805,27.192155838012695,15.084940910339355,5.062309741973877,0.15504670143127441,2.9927608966827393,6.313596725463867,66.01423645019531,66.05818939208984,2022.7587890625,9.705618858337402,3.3552277088165283
